Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_02_005.jpg,0,1,0,0.7093667,99.73964,85.24421,1.19566,281.4026,-0.0002495563
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_02_074.jpg,0,1,0,0.7718978,99.75167,85.18335,1.203474,281.3252,-0.0006303174
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_02_139.jpg,0,1,0,0.8117535,99.76131,85.13428,1.213373,281.2109,0.000158664
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_02_206.jpg,0,1,0,0.8799386,99.77155,85.08175,1.228349,281.2413,-0.001153487
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_02_269.jpg,0,1,0,0.9421945,99.78231,85.02644,1.231158,281.2406,-0.0008520625
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_02_335.jpg,0,1,0,0.9847779,99.79749,84.94849,1.215942,281.2312,-0.0008223425
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_02_409.jpg,0,1,0,1.029162,99.80945,84.88699,1.21335,281.2052,-0.0004958468
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_02_475.jpg,0,0.8979614,0,1.097301,99.82629,84.80025,1.223839,281.1751,-0.0006073183
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_02_536.jpg,0,0.7107695,0,1.135611,99.83941,84.73267,1.218043,281.1484,-0.0004539632
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_02_603.jpg,0,0.5122876,0,1.163245,99.85277,84.66351,1.215597,281.1444,-0.0003567042
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_02_674.jpg,0,0.3028308,0,1.189169,99.87086,84.56966,1.202965,281.1343,-0.0003041972
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_02_739.jpg,0,0.2980617,0,1.212035,99.88453,84.49874,1.175014,281.1254,-0.0002942269
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_02_807.jpg,0,0.4889181,0,1.212274,99.89829,84.42733,1.134298,281.1193,-0.0002999267
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_02_873.jpg,0,0.6982042,0,1.245949,99.91721,84.32908,1.110528,281.1092,-0.0003871323
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_02_974.jpg,0,0.8998517,0,1.282522,99.937,84.22627,1.138729,281.0987,-0.0004821171
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_03_019.jpg,0,1,0,1.337507,99.95257,84.14544,1.202708,281.0913,-0.0005445874
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_03_086.jpg,0,1,0,1.397296,99.96864,84.06175,1.277623,281.0832,-0.001028146
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_03_153.jpg,0,1,0,1.445915,99.9906,83.94734,1.286437,281.0714,-0.001214799
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_03_224.jpg,0,1,0,1.493578,100.0075,83.85889,1.252338,281.0623,-0.0006029214
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_03_286.jpg,0,1,0,1.557054,100.0251,83.76705,1.255527,281.0506,-0.0008814127
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_03_352.jpg,0,1,0,1.602292,100.0493,83.64045,1.260345,281.0373,-0.001005495
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_03_425.jpg,0,0.7965961,0,1.64735,100.068,83.54258,1.261505,281.0254,-0.000992659
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_03_510.jpg,0,0.5850202,0,1.692226,100.0934,83.40926,1.260669,281.015,-0.0005133757
